Program,n,i,s,p,Threads,Time (s),Output Match
pthread_life,400,300,5678,0.2,16,1.8069955610008037,No
pthread_life,400,300,5678,0.4,1,1.7240621260025364,No
pthread_life,400,300,5678,0.4,2,1.7574303009969299,No
pthread_life,400,300,5678,0.4,4,1.6865290539972193,No
pthread_life,400,300,5678,0.4,8,1.6337402110002586,No
pthread_life,400,300,5678,0.4,16,1.7657824279995111,No
pthread_life,400,400,1234,0.2,1,1.672678671999165,No
pthread_life,400,400,1234,0.2,2,1.88078533999942,No
pthread_life,400,400,1234,0.2,4,1.641756670000177,No
pthread_life,400,400,1234,0.2,8,1.826956696997513,No
pthread_life,400,400,1234,0.2,16,1.689231522999762,No
pthread_life,400,400,1234,0.4,1,1.8222995649994118,No
pthread_life,400,400,1234,0.4,2,1.6995169069996336,No
pthread_life,400,400,1234,0.4,4,1.8685104020005383,No
pthread_life,400,400,1234,0.4,8,1.8411077279997698,No
pthread_life,400,400,1234,0.4,16,1.7327487199981988,No
pthread_life,400,400,5678,0.2,1,1.894581680000556,No
pthread_life,400,400,5678,0.2,2,1.6557268799988378,No
pthread_life,400,400,5678,0.2,4,1.7390546089991403,No
pthread_life,400,400,5678,0.2,8,1.770574731999659,No
pthread_life,400,400,5678,0.2,16,1.7383214510009566,No
pthread_life,400,400,5678,0.4,1,1.743064955000591,No
pthread_life,400,400,5678,0.4,2,1.9198001469994779,No
pthread_life,400,400,5678,0.4,4,1.5693321440012369,No
pthread_life,400,400,5678,0.4,8,1.7203663810032594,No
pthread_life,400,400,5678,0.4,16,1.6312263949985208,No
openmp_life,100,100,1234,0.2,1,,Error
openmp_life,100,100,1234,0.2,2,,Error
openmp_life,100,100,1234,0.2,4,,Error
openmp_life,100,100,1234,0.2,8,,Error
openmp_life,100,100,1234,0.2,16,,Error
openmp_life,100,100,1234,0.4,1,,Error
openmp_life,100,100,1234,0.4,2,,Error
openmp_life,100,100,1234,0.4,4,,Error
openmp_life,100,100,1234,0.4,8,,Error
openmp_life,100,100,1234,0.4,16,,Error
openmp_life,100,100,5678,0.2,1,,Error
openmp_life,100,100,5678,0.2,2,,Error
openmp_life,100,100,5678,0.2,4,,Error
openmp_life,100,100,5678,0.2,8,,Error
openmp_life,100,100,5678,0.2,16,,Error
openmp_life,100,100,5678,0.4,1,,Error
openmp_life,100,100,5678,0.4,2,,Error
openmp_life,100,100,5678,0.4,4,,Error
openmp_life,100,100,5678,0.4,8,,Error
openmp_life,100,100,5678,0.4,16,,Error
openmp_life,100,200,1234,0.2,1,,Error
openmp_life,100,200,1234,0.2,2,,Error
openmp_life,100,200,1234,0.2,4,,Error
openmp_life,100,200,1234,0.2,8,,Error
openmp_life,100,200,1234,0.2,16,,Error
openmp_life,100,200,1234,0.4,1,,Error
openmp_life,100,200,1234,0.4,2,,Error
openmp_life,100,200,1234,0.4,4,,Error
openmp_life,100,200,1234,0.4,8,,Error
openmp_life,100,200,1234,0.4,16,,Error
openmp_life,100,200,5678,0.2,1,,Error
openmp_life,100,200,5678,0.2,2,,Error
openmp_life,100,200,5678,0.2,4,,Error
openmp_life,100,200,5678,0.2,8,,Error
openmp_life,100,200,5678,0.2,16,,Error
openmp_life,100,200,5678,0.4,1,,Error
openmp_life,100,200,5678,0.4,2,,Error
openmp_life,100,200,5678,0.4,4,,Error
openmp_life,100,200,5678,0.4,8,,Error
openmp_life,100,200,5678,0.4,16,,Error
openmp_life,100,300,1234,0.2,1,,Error
openmp_life,100,300,1234,0.2,2,,Error
openmp_life,100,300,1234,0.2,4,,Error
openmp_life,100,300,1234,0.2,8,,Error
openmp_life,100,300,1234,0.2,16,,Error
openmp_life,100,300,1234,0.4,1,,Error
openmp_life,100,300,1234,0.4,2,,Error
openmp_life,100,300,1234,0.4,4,,Error
openmp_life,100,300,1234,0.4,8,,Error
openmp_life,100,300,1234,0.4,16,,Error
openmp_life,100,300,5678,0.2,1,,Error
openmp_life,100,300,5678,0.2,2,,Error
openmp_life,100,300,5678,0.2,4,,Error
openmp_life,100,300,5678,0.2,8,,Error
openmp_life,100,300,5678,0.2,16,,Error
openmp_life,100,300,5678,0.4,1,,Error
openmp_life,100,300,5678,0.4,2,,Error
openmp_life,100,300,5678,0.4,4,,Error
openmp_life,100,300,5678,0.4,8,,Error
openmp_life,100,300,5678,0.4,16,,Error
openmp_life,100,400,1234,0.2,1,,Error
openmp_life,100,400,1234,0.2,2,,Error
openmp_life,100,400,1234,0.2,4,,Error
openmp_life,100,400,1234,0.2,8,,Error
openmp_life,100,400,1234,0.2,16,,Error
openmp_life,100,400,1234,0.4,1,,Error
openmp_life,100,400,1234,0.4,2,,Error
openmp_life,100,400,1234,0.4,4,,Error
openmp_life,100,400,1234,0.4,8,,Error
openmp_life,100,400,1234,0.4,16,,Error
openmp_life,100,400,5678,0.2,1,,Error
openmp_life,100,400,5678,0.2,2,,Error
openmp_life,100,400,5678,0.2,4,,Error
openmp_life,100,400,5678,0.2,8,,Error
openmp_life,100,400,5678,0.2,16,,Error
openmp_life,100,400,5678,0.4,1,,Error
openmp_life,100,400,5678,0.4,2,,Error
openmp_life,100,400,5678,0.4,4,,Error
openmp_life,100,400,5678,0.4,8,,Error
openmp_life,100,400,5678,0.4,16,,Error
openmp_life,200,100,1234,0.2,1,,Error
openmp_life,200,100,1234,0.2,2,,Error
openmp_life,200,100,1234,0.2,4,,Error
openmp_life,200,100,1234,0.2,8,,Error
openmp_life,200,100,1234,0.2,16,,Error
openmp_life,200,100,1234,0.4,1,,Error
openmp_life,200,100,1234,0.4,2,,Error
openmp_life,200,100,1234,0.4,4,,Error
openmp_life,200,100,1234,0.4,8,,Error
openmp_life,200,100,1234,0.4,16,,Error
openmp_life,200,100,5678,0.2,1,,Error
openmp_life,200,100,5678,0.2,2,,Error
openmp_life,200,100,5678,0.2,4,,Error
openmp_life,200,100,5678,0.2,8,,Error
openmp_life,200,100,5678,0.2,16,,Error
openmp_life,200,100,5678,0.4,1,,Error
openmp_life,200,100,5678,0.4,2,,Error
openmp_life,200,100,5678,0.4,4,,Error
openmp_life,200,100,5678,0.4,8,,Error
openmp_life,200,100,5678,0.4,16,,Error
openmp_life,200,200,1234,0.2,1,,Error
openmp_life,200,200,1234,0.2,2,,Error
openmp_life,200,200,1234,0.2,4,,Error
openmp_life,200,200,1234,0.2,8,,Error
openmp_life,200,200,1234,0.2,16,,Error
openmp_life,200,200,1234,0.4,1,,Error
openmp_life,200,200,1234,0.4,2,,Error
openmp_life,200,200,1234,0.4,4,,Error
openmp_life,200,200,1234,0.4,8,,Error
openmp_life,200,200,1234,0.4,16,,Error
openmp_life,200,200,5678,0.2,1,,Error
openmp_life,200,200,5678,0.2,2,,Error
openmp_life,200,200,5678,0.2,4,,Error
openmp_life,200,200,5678,0.2,8,,Error
openmp_life,200,200,5678,0.2,16,,Error
openmp_life,200,200,5678,0.4,1,,Error
openmp_life,200,200,5678,0.4,2,,Error
openmp_life,200,200,5678,0.4,4,,Error
openmp_life,200,200,5678,0.4,8,,Error
openmp_life,200,200,5678,0.4,16,,Error
openmp_life,200,300,1234,0.2,1,,Error
openmp_life,200,300,1234,0.2,2,,Error
openmp_life,200,300,1234,0.2,4,,Error
openmp_life,200,300,1234,0.2,8,,Error
openmp_life,200,300,1234,0.2,16,,Error
openmp_life,200,300,1234,0.4,1,,Error
openmp_life,200,300,1234,0.4,2,,Error
openmp_life,200,300,1234,0.4,4,,Error
openmp_life,200,300,1234,0.4,8,,Error
openmp_life,200,300,1234,0.4,16,,Error
openmp_life,200,300,5678,0.2,1,,Error
openmp_life,200,300,5678,0.2,2,,Error
openmp_life,200,300,5678,0.2,4,,Error
openmp_life,200,300,5678,0.2,8,,Error
openmp_life,200,300,5678,0.2,16,,Error
openmp_life,200,300,5678,0.4,1,,Error
